Column1,Column2
Put cause and measure while fixing issues.,Defect
"Patch Set 1: Code-Review-1

No need to merge this CL. Already resolved these issues. Current infer ERROR = 0",Defect
"Seems these two varibale never used, they will create dead store issues.",Defect
"Please check if for null case it crashes or not. Also, make proper amends.",Defect
"Patch Set 1: Verified-1

Description Validation failed.
Error: [Feature Name] has invalid value :  Two_Way_Sync_Sports  
Format: [Title] Apt title for your change [Checking Method] Mention the testing flow [Type] feature (catch-up) or Patch or Feature or Bugfix [Feature Name] Your Feature Name [Self Test Result] Pass",Defect
"Patch Set 2: Verified-1

Description Validation failed.
Error: [Feature Name] has invalid value : Two_Way_Sync_Sports  
Format: [Title] Apt title for your change [Checking Method] Mention the testing flow [Type] feature (catch-up) or Patch or Feature or Bugfix [Feature Name] Your Feature Name [Self Test Result] Pass",Defect
"for no network connection case, failure block will be executed with ""Error Domain=NSURLErrorDomain"".",Defect
Retrieve the error code from result.,Defect
Please give comment why this modification is needed.,Documentation
"please, write what is the problem and what is the measure briefly",Documentation
Please give log here.,Documentation
You could add comment here to detect any memory warnings.,Documentation
Insert log to print selected index here.,Documentation
Insert log to print selected index here.,Documentation
it should be better to give ui reference about how  this maximum alarm count is taken,Documentation
"if  found any update, respective class will start update after check some precondition. response will handle that class",Documentation
"please, add log what is save.",Documentation
"Please share more details about refactoring in this commit message
1. What is the purpose of refactor?
2. Which functions/code are refactored?
3. How did you test the changed code?",Documentation
"Patch Set 1:

(2 comments)

Please add logs in Alarm feature. there are few logs at present.",Documentation
Please remove that part. This is unnecessary.,Documentation
removing this unnecessary code lines,Documentation
Please remove that part. This is unnecessary.,Documentation
should be an else part of showing log,Documentation
Please use SGLogger.log(),Documentation
"Please use SGLogger.log() and put meaningful text. For example, the log text ""isPermissionTaken"" doesn't match with the actual function name. Please check.",Documentation
"Please put log here to write ""gearId""",Documentation
"Patch Set 1:

(2 comments)

I suggest to add more logs in important places",Documentation
Put meaningful log inside function.,Documentation
"Patch Set 3: Code-Review+1

Checked Item:
1. Add timer for log dump and sensor dump.
2. If timeout occur (15.0) then send fail result via delegate.",Documentation
"According to apple developer Documentation, 

You must send this message from the thread on which the timer was installed. If you send this message from anOther thread, the input source associated with the timer may not be removed from its run loop, which could prevent the thread from exiting properly.

Do we make sure that start and end of our timer is occurring in the same thread? 

https://developer.apple.com/Documentation/foundation/timer/1415405-invalidate",Documentation
Print the log,Documentation
"There is no action or any changes to flow, only this code prints log",Documentation
This class will be responsible for IMSStack Log Management,Documentation
Prints IMSStack Logs in App via delegate,Documentation
Entry point of incoming message notification in MCPTT & Set log,Documentation
"Patch Set 2: Verified-1 Code-Review-1

Patch - 2 is only for receiving more logs. No Other changes.",Documentation
Set log with SRBD-MCPTT Token,Documentation
You do not need to convert the error to string. Use SESLibError description.,Documentation
Please use error description,Documentation
Add TODO for moving retrieval from willAppear as this method will be called for many scenarios.,Documentation
Add TODO to make '....CardCell' base class to remove duplicate codes.,Documentation
"After creating new CardCell base class, this won't be necessary anymore.",Documentation
added a TODO in codebase.,Documentation
Add TODO comment to remove hard values in switch case.,Documentation
please follow the proper way for printing error msg,Documentation
Follow above comment and add an extension,Documentation
print the error in log.,Documentation
Add explanation comment here.,Documentation
please follow the proper format for error log,Documentation
please follow the proper format for error log,Documentation
Add logs in Validation blocks.,Documentation
This TODO is Required. pronab.m is working on this.,Documentation
"please provide log with ""errorDescription"" if required, Otherwise replace with ""_"" if it is not used",Documentation
"please provide log with ""errorDescription"" if required, Otherwise replace with ""_"" if it is not used",Documentation
please add instructive comment about what to do with this commented out code,Documentation
"please find a better way with the usage of constants or enums to avoid -1. If it is absolutely needed, please add appropriate NOTE",Documentation
It should be error log. and please provide it in proper format.,Documentation
create device image folder in Assets and fetch image files.,Documentation
You do not need to convert the error to string. Use SESLibError description.,Documentation
"1. Follow the naming convention for the error case.
2. Maintain the number series for the error type.",Documentation
Add TODO for moving retrieval from willAppear as this method will be called for many scenarios.,Documentation
add a description and change to requireId,Documentation
Add TODO to make '....CardCell' base class to remove duplicate codes.,Documentation
please follow the proper format for error log,Documentation
please follow the proper format for error log,Documentation
Add TODO comment to remove hard values in switch case.,Documentation
please follow the proper format for error log,Documentation
please follow the proper format for error log,Documentation
"Patch Set 1:

Please change folder structure & separate SIC FW and score task in different folder",Documentation
"your two variable names are different (mSize and size).In this case this is redundant.
Same comments applied for all varibales",Documentation
"your two variable names are different (mSize and size).In this case this is redundant.
Same comments applied for all varibales",Documentation
In this context setting and updating is same thing.Just provide a no argument constructor . Caller will decide when it will set the value.Object construction time or later,Documentation
"No. Util class is not a collection for all things. 
In OOP, it's more natural to provide methods by itself for it's own data. 
So, it's proper that toString for it's data is in itself.",Documentation
"Please use the copyright for Social app,

This is the copyright for SEMSSDK",Documentation
"Please use the copyright for Social app,

This is the copyright for SEMSSDK",Documentation
"Please follow the similar naming for Protocol.
i.e. FeedInteractorRequestProtocol / FeedInteractorResponseProtocol",Documentation
"Please follow the similar naming for Protocol.
i.e. FeedInteractorRequestProtocol / FeedInteractorResponseProtocol",Documentation
Implement the Data manager protocol,Documentation
"Please use the copyright for Social app,

This is the copyright for SEMSSDK",Documentation
Kindly follow the protocol naming convension,Documentation
"Please use the copyright for Social app,

This is the copyright for SEMSSDK",Documentation
Please Follow the Protocol naming convention,Documentation
"Please use the copyright for Social app,

This is the copyright for SEMS SDK",Documentation
"Please use the copyright for Social app,

This is the copyright for SEMS SDK",Documentation
"Please use the copyright for Social app,

This is the copyright for SEMS SDK",Documentation
Please make a note or TODO comment here to use SEMSManager later.,Documentation
Better to implement Data manager protocol,Documentation
Check for recycling options. Add TODO comment for now.,Documentation
"We may change databases, list may come from files, or Other storages. So, app doesn't need to specify that.",Documentation
You need to set GDPR supported mcd and enable TEST GDPR  from feature manager.,Documentation
"please rename it as View, which is more consitent and readable in iOS platform.",False Positive
For now we have no plan to use this function from Other place. So i want to keep it as it is.,False Positive
We are considering this two apps for now. It will be discussed later for Other apps.,False Positive
I think we no need. We have log already.,False Positive
"After creating new CardCell base class, this won't be necessary anymore.",False Positive
This might do early return before memory release,Logical
pi / 2 refer to south pole in 360 view mode,Logical
Please confirm that Date() constructor doesn't return nil or invalid format. Otherwise you have to check for the error case.,Logical
"apply check to same line like 
 if let lastUpdateCheckTime:Int = UserDefaults.standard.string(forKey: SGSuotaConstantsKey.LastUpdateCheckDate) {
}
may int datatype default value should be 0 
Otherwise use  

if let lastUpdateCheckTime:Int = UserDefaults.standard.string(forKey: SGSuotaConstantsKey.LastUpdateCheckDate) ?? 0 {
}",Logical
there should be a log by which we can check how getProgress value gets 0 value,Logical
Will not this menu available when GM is connected with 3G/LTE Watch?,Logical
It is not supported because of technical issue. UX guide is updated.,Logical
"If failed to parse ZIP file, process should return from here rather executing following codes. If you return from here, it is required to call remove observer.",Logical
"your point is Logical that it's fail to unZip next Other process is use less but it normal case but it's required for next case like 

1. download zip file from server
2. start copy after press installation then some how file to copy/ user kill the app/disconnection occur
3. Now user try to installed and fail Zip 
though now it's fail but there have an resource file that we did earlier so it will continue

if we don't return it will not make any problem because there have anOther check for next step",Logical
"@Tusher may better change code like following 

prepare a method like  clearStatusWhenInstallationFail() {

if self.suotaBinaryCopyStatus {
self.removeObserverForOnDisconnectDevice()
}
self.suotaBinaryCopyStatus = false
}


call the method self",Logical
"BadgeNumber 0 will dismiss all the notifications even if some Other module thorough some notifications. You should dismiss only your requested one.

Please check for Other way to dismiss only your module notification.",Logical
change code like ... if it is SGOOBESequence then do,Logical
"remove the save method, data will be store with the device info dictionary. Here keep only getSKUcodeValue like 

    func getSKUcodeValue () -> String? {
        
        if let wearableInfoDict = UserDefaults.standard.dictionary(forKey: GROUP_GEAR_INFO),
            let skuCode = wearableInfoDict[SKU_CODE] as? String{
            SGAppLog("" wearable Serial: \(wearableSerialNumber)"")
            return skuCode
        }else {
            SGAppLog("" Dictionary DATA \(String(describing: UserDefaults.standard.dictionary(forKey: GROUP_GEAR_INFO)))"")
        }
        return nil
    }


Note: add  SKU_code value into getGearInfoDictionary method",Logical
"after resetting cell type , its getting accessory text . that's why we need to reset the accessory type to none.",Logical
This checking should go to cellForRowAtIndexPath function.,Logical
"1. Please avoid complex logic inside function param. Debugging in this such case is complex though.
2. Use guard for serverInfoData and binarySize. Make sure it is greater than 0 to have valid data. Your program should check those conditions under guard and return error if true.",Logical
"condition is not readable if you use self.suotaBinaryCopyStatus = true it will be more readable.
or change variable name like isCopyingSuotaBinary",Logical
"Just to suggest you. You can remove redundant statements while fixing this type of issues.

#if DEBUG != 1
    // We will not run Fabric, Only if the permission is not granted.
    if (userAgreement == USER_AGREEMENT_NOT_GRANTED) {
        DDLogVerbose(@""[SGAppDiagnostics startDiagnosis] No Permission to start Fabric"");
    }
    else if (isFabricStarted == NO) {
        DDLogVerbose(@""[SGAppDiagnostics startDiagnosis] Registering for Fabric Crashlytics Support with Answers"");
        [Fabric with:@[[Crashlytics class]]];
        isFabricStarted = YES;
        return YES;
    } else {
        DDLogVerbose(@""[SGAppDiagnostics startDiagnosis] Fabric is already running"");
    }
#endif
    return NO;",Logical
"You can remove redundant statements as below while fixing this type issues. This is just a suggestion. 

if (gearAppDownloadStatus.packageName != nil) {
        if (gearAppDownloadStatus) {
            [downloadInfoListLock lock];
            [self.downloadInfoList addObject:gearAppDownloadStatus];
            [downloadInfoListLock unlock];
            [self notifyDelegate];
            return YES;
        }
    }
    return NO;",Logical
It creates a memory leak problem in static analysis. nil cannot be assigned here in a CGSize,Logical
"if (self) {
        self.acceptableStatusCodes = [NSIndexSet indexSetWithIndexesInRange:NSMakeRange(200, 100)];
        self.acceptableContentTypes = nil;
}
return self;",Logical
I think we not need to assign anOther variable. Previous code is OK. Only to add = in the condition section.,Logical
these resetting or default settings should be called from a business logic class. not in store class. It only responsible for storing/retrieving/updating the values by calling from business logic class.,Logical
move this block to end of this class file.,Logical
Please replace previous DID with new DID in Other code files as well.,Logical
No need to maintain isDeviceDisconnected variable. Use isWMSConnected function to determine connectivity.,Logical
"Patch Set 1:

After Completing backend, we will submit this CL. Till then it will be in pending state.",Logical
"since it is fixed list of IDs, so why it is necessary to loop. you may have valid id list and check if it contains or not?",Logical
"using map we simply solved this problem, no loop is required now",Logical
"using map we simply solved this problem, no loop is required now",Logical
"please, check with if return invalid_id as -1 and UI can handle this properly.",Logical
"UI will not get widget with widget_id = -1, because we send valid widgets after checking this property in the SGWidgetListResponseData class.",Logical
Dummy data was using to have some test data if SIM wasn't inserted. Please verify this condition. If no issue found submit the code,Logical
Yes newAlarm will never be nil.,Logical
"Patch Set 1:

(3 comments)

You can use different way for this task.
Like,

array = [sun, mon....] //attributed string array

for 0...6
{
if (repeat[I] == 1){
string = array[I]
string change color

}
append to result string
}",Logical
"If GDPR == true
   show Privacy Policy then End User License Agreement
else
   show End User License Agreement then Privacy Policy",Logical
Change logic here also as commented in earlier file.,Logical
Change logic here also as commented in earlier file.,Logical
"Please define this magic number.
Like  static let OptionLimit = 2",Logical
"The purpose of this function is to update constraints. But we are setting a label's font inside this function. 
Please set label's font property else where.",Logical
"Please, re-check why this block of code is missing",Logical
why need to multiply *1000?,Logical
Did you sure observer is added for this object? Did it create any problem if observer is not added before ?,Logical
during progress it's should be false and if occur any error again value should be true. because during updating UI can call the isSuotaUpdateAvailable(),Logical
"In anOther CL , You have given below comment 
""isInitialedWatch value for Moden false = First Connection and true = reconnection""

So here is reconnection scenario and it should be true.",Logical
"Please add else part also like:
privacyPolicyLabel.textAlignment = .left
endUserLicenseLabel.textAlignment = .left",Logical
For any language it was showing text alignment from left.For Arabic it was also showing left alignment.Thats why I think it is aligned as left and I did not add else part.,Logical
"Patch Set 3:

initial this class to startRequiredClassInitialization of class SGAppInitializer",Logical
"epoch time should be sec, Please  remove this multiplication",Logical
These 3 lines are not needed as you put them in else part later. Please remove these lines.,Logical
"why this is static, since these are private constant values so it can be instance type. if Provider class is static instance then all values will be load once.",Logical
"only DispatchQueue.main.async block , within  DispatchQueue.global(qos: .background).async this code block. Is it necessary DispatchQueue.global?",Logical
"in if condition how it works, to set ?? false as default value. break down code in separate simple logic to assign value first and then use in if condition",Logical
"Patch Set 3:

moden binary has some problem, please don't merge this cl before 100% testing",Logical
is it static function? why need sgwidget store static functions. it should be instantiated and then use to call func.,Logical
"90/3 = 30
and both side is 30 + 30 = 60",Logical
"as result is any object, we must convert it into boolean.
The let statement will avoid any crash if it fails to convert.

But as the result field will have a value for share, we can omit this check.
In that case we will have to force wrap this value.",Logical
Please give proper try catch check in this function.,Logical
"if it is same function as in OOBE initsync msg, you may create a util function and use that.",Logical
"Equality operator (==), returns true for operands whose values are equal. Here do we need to assign ""true"" to smartCardActivation and then return. Or, it is needed to put equality operator here? Please check.",Logical
We don't need to assign any value to smartCardActivation variable. Just need decision true or false.,Logical
no need to multiply as it is 0,Logical
"What's the reason to call removal(). The dictionary of array is just created. 
Could you try to apply following codes for diclaration;
var DictArray = [[String: Any]()] 
or,
var DictArray = [Dictionary<String, Any>()]",Logical
"Logic from line 23 to 33 doesn't match with requirement. 
1. EULA and Privacy Policy are required now.
2. There can be 1 option
3. There can be 2 options
4. There can be >2 options.

Please check.",Logical
"There should be only one array list of quick settings Otherwise it would create confusion.
Its getting updated when quick settings are changed in gear side.But then the data  in the UI side is not getting updated. Thats why it should be static.",Logical
All occurrences of IP address has been replaced with general macro in current patch. (Except in imsprofile.json).,Logical
"If nobody sends MNO value, then the default value will always be 0, which is an undefined scenario, please fix logic",Logical
"1. Why there is a semicolon after function name?
2. CallController is a controller, this doesn't have any knowledge about its caller, like if button pressed or not. 
Could you please rename it to more meaning full name like, initiate call or make call. also make implement it dynamically like pass the callee information here.",Logical
"please do not use this macros, pass this infomations from the caller of this class.",Logical
Please check the logic with Android. I am wondering how it is working in Type 3,Logical
Logic change for XDM subscribe. for guard condition xdmSubscribe not happen,Logical
"I am not stopping it. mRegiInfo !=NULL, and mIsSharedListSubscribed == false. So Otherwise return. In previous mIsSharedListSubscribed == true are given thats why code flow go to else condition and return without XdmSubscribe",Logical
"Right now, three functions are called just to configure the view.
    - configureWriteCommentView()
    - setDataAndReloadView()
    - showViewWithNoLikeCommentMessage()

And in each function viewType is checked several times.

I'd recommend to write only two function. One for commentType and anOther for likeType view and configure the view accordingly.",Logical
change coding key to map variable name.,Logical
"this if block can be reduced as follows. Please consider if that would be  more swift like:

groupMembers?.forEach { $0.profileId = groupId }",Logical
"Since all the UIImage attribute are getting removed from all the entities. I'd recommend not to use ""uploadedImage"" attribute as it is UIImage type.

Try to use ""uploadedImageHash"" Instead.",Logical
please make an if-else ladder as the current implementation will go through all the statements even after the deviceType is found earlier.,Logical
please make an if-else ladder as the current implementation will go through all the statements even after the deviceType is found earlier.,Logical
"This function seems duplicated. Move to Util class.

Also better rename it to fetchProfileImage(fromUrl:withHash:forImageView)",Logical
"if error exists, imageHash will be nil and we do not need to assign nil to the optional post.postOwnerImageHash var. I think it should be inside an else block.",Logical
majority of this function is reusable. Either use a private function for common code or use boolean to indicate execution nature,Logical
please use ImageCompressionQuality.fullSize.rawValue,Logical
please use ImageCompressionQuality.fullSize.rawValue,Logical
Check with boolean flag with default circular.,Logical
"Use named tuple for readability. Check from:
var fishes = (first:""cod"", second:""dab"", third:""eel"")

https://justanapplication.wordpress.com/category/programming-languages/swift/swift-tuples/swift-tuple-named-values/",Logical
"error==nil already checked in preceding if block. Best to push this block inside the preceding block.


if error == nil {
    myProfile.profilePicHash = imageHash
    myProfile.profilePic = imagedata
    self?.myProfile = myProfile
    if didRetrieveFromCache == false {
        SemsLog.debug(message: ""Fetched profile image from server"")
        do {
            try CoreDataStorage.sharedInstance.updateByAttribute(dataType: .myProfile, filterBy: MyProfileAttributeNames.profileId.rawValue, with: myProfile.profileId, updateField: MyProfileAttributeNames.profilePicHash.rawValue, with: imageHash)
        } catch let updateError {
            SemsLog.error(message: ""Failed to update profilePicHash in Coredata [\(updateError)]"")
        }
    }
}",Logical
"please add this one in ""isEqual"" function.",Logical
"this if block can be reduced as follows. Please consider if that would be  more swift like:

groupMembers?.forEach { $0.profileId = groupId }",Logical
"1. Why there is a ""space"" character in the front of the string? if we need a space in our UI, better to append a space in the string and then set the string in the text field.

2. Please use localized string.",Logical
"What if group list is nil or empty?
This will cause indexOutOfBounds exception.",Logical
please make an if-else ladder as the current implementation will go through all the statements even after the deviceType is found earlier.,Logical
Check if there is any append function. This may create new arrays.,Logical
"if this is being used for determining the view type, instead of using boolean use ViewType enum.",Logical
please make an if-else ladder as the current implementation will go through all the statements even after the deviceType is found earlier.,Logical
no need to write additional init function. Assign default values to the Other one,Logical
"if error exists, imageHash will be nil and we do not need to assign nil to the optional post.postOwnerImageHash var. I think it should be inside an else block.",Logical
majority of this function is reusable. Either use a private function for common code or use boolean to indicate execution nature,Logical
please use ImageCompressionQuality.fullSize.rawValue,Logical
please use ImageCompressionQuality.fullSize.rawValue,Logical
Check with boolean flag with default circular.,Logical
"Use named tuple for readability. Check from:
var fishes = (first:""cod"", second:""dab"", third:""eel"")

https://justanapplication.wordpress.com/category/programming-languages/swift/swift-tuples/swift-tuple-named-values/",Logical
"error==nil already checked in preceding if block. Best to push this block inside the preceding block.


if error == nil {
    myProfile.profilePicHash = imageHash
    myProfile.profilePic = imagedata
    self?.myProfile = myProfile
    if didRetrieveFromCache == false {
        SemsLog.debug(message: ""Fetched profile image from server"")
        do {
            try CoreDataStorage.sharedInstance.updateByAttribute(dataType: .myProfile, filterBy: MyProfileAttributeNames.profileId.rawValue, with: myProfile.profileId, updateField: MyProfileAttributeNames.profilePicHash.rawValue, with: imageHash)
        } catch let updateError {
            SemsLog.error(message: ""Failed to update profilePicHash in Coredata [\(updateError)]"")
        }
    }
}",Logical
"please find a better way with the usage of constants or enums to avoid -1. If it is absolutely needed, please add appropriate NOTE",Logical
"IdType Shouldn't be nil.
define Unknown in enum and force user to pass id type",Logical
"1. Why there is a ""space"" character in the front of the string? if we need a space in our UI, better to append a space in the string and then set the string in the text field.

2. Please use localized string.",Logical
Check if there is any append function. This may create new arrays.,Logical
"This is done is several cases. 
    - ContactProfileManager -> updateMyProfileToCoreData() line: 396.
    - ContactProfilePresenter -> requestMyProfile()

any better suggestion?",Logical
please add condition if deleteElevatedHrUUIDList.count > 1,Logical
"Patch Set 2: Verified-1

Description Validation failed.
Error: [Feature Name] has invalid value :  Watch_Settings_UI  
Format: [Title] Apt title for your change [Checking Method] Mention the testing flow [Type] feature (catch-up) or Patch or Feature or Bugfix [Feature Name] Your Feature Name [Self Test Result] Pass",Logical
check if scrollView == collectionView,Logical
"Hi, why are we subtracting 100000 from tag? Please comment the code here, its not easily understandable.",Logical
"in updateUi function when i am creating the badge view, i am identifying them from range 100000 to 100005. rajesh vai told me not to use tag 1 to 6. it may conflicts with UIKit default tag value",Logical
"There was some common code outside of switch-case block that should not execute for this case. So ""return"" used here instead of ""break"".",Logical
in model please give it a initializer value (false/ true). make it a boolean type not optional boolean.,Logical
"Patch Set 1: Verified-1

Description Validation failed.
Error: [Feature Name] has invalid value :   
Format: [Title] Apt title for your change [Checking Method] Mention the testing flow [Type] feature (catch-up) or Patch or Feature or Bugfix [Feature Name] Your Feature Name [Self Test Result] Pass",Logical
"don't declare them in class level. Make all of them variables insside the ""getAllScoreData"" function.",Logical
"Having so many params in the completion handler is prone to mistakes.
Instead create a class called ""SHMWearableScoreData"" that contains each score and only include this class in the completion handler.",Logical
21 should be multiplied by common height factor.,Logical
10 should be multiplied by common width factor.,Logical
"You can set image view's properties as follows without writing any function

@IBOutlet weak var imageView: UIImageView!{
        didSet{
            imageView.layer.borderWidth = 3.0
            imageView.layer.masksToBounds = true
            imageView.layer.borderColor = UIColor.white.cgColor
            imageView.layer.cornerRadius = imageView.frame.size.width / 2
            imageView.clipsToBounds = true
            imageView.contentMode = UIView.ContentMode.scaleAspectFill
        }
    }",Logical
"Patch Set 1: Verified-1

Description Validation failed.
Error: [Feature Name] has invalid value :   
Format: [Title] Apt title for your change [Checking Method] Mention the testing flow [Type] feature (catch-up) or Patch or Feature or Bugfix [Feature Name] Your Feature Name [Self Test Result] Pass",Logical
"this will be SGEsimPrepareNetworkVC... SGEsimRouter class has the all view ids if necessary add there SGEsimViewController in this class you may create more methods as per necessity DRY: Do not Repeat Yourself... remove duplicate to one place and call that method from here same code block is  in SGBackUpRestoreViewControllerOOBE.m why not move this block in method startEsim2ViewFlow, and anOther method for startEsim1ViewFlow in  SGEsimViewController class",Logical
"if mIsInitText is true, you don't need to set unit text.
So,
if(mIsInitText) {
// just set mMainValueData
} else {
// set mMainValueData, if exist each tile data, you can set mMainValueUnit, mSubValueText, mSubValueUnit
}",Logical
"if onBannerChange is called multiple, the runnable is called multiple. my question, before calling again, does not need canceling mOpenBannerRunnable ? if onBannerChange is called after onBannerDisable() always, the removing previos runnable is not needed.",Logical
"if(mMeBanner.getBannerSize() == 0) {
                setSlidingEnabled(false);
                setPanelState(SlidingUpPanelLayout.PanelState.EXPANDED);
            } else {
                setSlidingEnabled(true);
                setPanelState(SlidingUpPanelLayout.PanelState.COLLAPSED);
            }

block is same in openBannerRunnable().
please make a method not to make duplacte code",Logical
"do not use mButtonText for secondary button.
if(!TextUtils.isEmpty(logMultiButtonViewData.mSecButtonDescription)) {
  //set contentDescription
}",Logical
"you have to use tileviewdata.
if(logMultiButtonViewData.mSecButtonResource != TileViewData.NONE) {
    mSecImageButton.setImageResource(logMultiButtonViewData.mSecButtonResource);
} else {
//set default image
mSecImageButton.setImageResource(R.drawable.me_data_ic_plus);
}",Logical
"You have to use setButtonColorAndStoreDrawable(). As I know, create ripple drawable and keep background drawable to re-use background drawable in setButtonColorAndStoreDrawable(). If anOther button background needed for LogMultiButtonTileView, please this code move to LogMultiButtonTileView.",Logical
"We don't need to assign default image to tileviewdata
Remove 74 line code, and just call below code.
mImageButton.setImageResource(R.drawable.me_data_ic_minus);",Logical
"it makes strong reference

MeFragment meFragment = weak.get();
if (meFregment == null){
return;
}

mFragment.mMeBanner.getXXX .",Logical
"spelling mistake :)
market+turbed.

Also with ""keychain sharing capability must be turned off"" add ""FOR group samsung.account.keychain""",Logical
"before casting to protocol check for conformity with the protocol.

Also for single call assignment to new variable is not necessary.

Also change casting to (SAAbstractStorage <SAKeychainProtocol>)",Logical
Better to use anOther macro KEYCHAIN_ACCESS_GROUP as discussed since we change this frequently.,Logical
"Design ID used as per UX designer.

[??? / Youngmi Kim] - 14:05                 
In the STMS, SERVICES (Header) was resisgered for Vodafone carrier. 
Design type and english text, and the meaning (all service lilst) are the exactly same. If possible, please use it.

[??? / Youngmi Kim] - 14:06                 
==> DREAM_SAC_HEADER_SERVICES_VODA",Logical
I want to print mAttr is null. It's type is BarGraphAttribute.,Logical
I want to print mAttr is null. It's type is BarGraphAttribute.,Logical
Attribute is used only one place within if so it is redundant use like if (getBgBarAttribute() == null) and Other option is use attribute in below bgBarAttrs.add(getBgBarAttribute())====> bgBarAttrs.add(attribute),Logical
"I meant toString() will be here.But you can separate String builder logic in separate class like helper (metioning util was not proper from me).Whatever, it is not major.",Logical
More better way to manage checked array is using enum of each T&C as a index of this array. please modify the code in next CL,Logical
change this spec.According to your render logic 0 is for dotted and any value except zero is for single line,Logical
Kindly use SocialConstants.defaultContactImage from SocialConstants.swift instead of hard coded values.,Logical
Kindly use SocialConstants.defaultContactImage from SocialConstants.swift instead of hard coded values.,Logical
